corpus,branch,source_mode,smoother,param,group,n_frames,ccc,mae,rmse,pearson,novice_n_frames,novice_ccc,novice_mae,novice_rmse,novice_pearson,expert_n_frames,expert_ccc,expert_mae,expert_rmse,expert_pearson
noxi,metadata_head,role,ema,0.05,overall,577136,0.8481160768924714,0.05731513166724603,0.07404530294940023,0.8491003872018413,288568,0.657883764634987,0.05579209513063747,0.07252119866558634,0.6619597580962682,288568,0.8279616586772164,0.05883816820385456,0.07553866243086038,0.830155733165869
noxi,metadata_head,shared,deadband,0.05:1,overall,577136,0.8465342117251057,0.05781464858748936,0.07435550219888312,0.8474580932680698,288568,0.6562256880153154,0.056590651901116444,0.07305719844018124,0.6593666231739056,288568,0.8250278003470265,0.05903864527386227,0.07563152233406521,0.8282957937743027
noxi,metadata_head,role,deadband,0.05:1,overall,577136,0.8461993355608329,0.05797743279189903,0.0746004303786974,0.8471619822308424,288568,0.6608180177898967,0.05634190631826306,0.07289848476912447,0.6636075556767979,288568,0.8252011301815957,0.059612959265535004,0.07626440417219216,0.8272590090315686
noxi,metadata_head,role,deadband,0.05:0.5,overall,577136,0.8438765897378517,0.05783954191156765,0.07436794102496401,0.8457587152838795,288568,0.6526728038431465,0.055935823452913216,0.07226869919716761,0.6576546082681448,288568,0.8216551291672751,0.05974326037022209,0.0764095309561206,0.8249308334024197
noxi,metadata_head,shared,deadband,0.05:0.5,overall,577136,0.8437330942250844,0.0577805191938188,0.07419370917891026,0.8457974180204876,288568,0.6491654616372109,0.0562132013475849,0.07238685958360867,0.6546632023116119,288568,0.8203664464741156,0.0593478370400527,0.07595759029269128,0.825154478615429
noxi,metadata_head,shared,causal_mean,50,overall,577136,0.8424648715660346,0.05823170372292282,0.07531271612915727,0.8433879586837097,288568,0.6418496167322864,0.05711882407410726,0.07413540899491246,0.6458632454494119,288568,0.8207142669786728,0.059344583371738376,0.07647190042531377,0.8242399178842876
noxi,metadata_head,role,causal_mean,50,overall,577136,0.8415480921987034,0.058478888485055926,0.07567177253446061,0.8424818253977898,288568,0.6434110510870324,0.056942134020666085,0.07413603347350756,0.6472201707621522,288568,0.8206393393896256,0.06001564294944575,0.07717695807577066,0.822735367141054
noxi,metadata_head,shared,causal_median,50,overall,577136,0.8411026998084224,0.05848293951393903,0.07573539693764511,0.841917681416536,288568,0.6392918607906435,0.05738163116515391,0.0746110766379195,0.6429092026164496,288568,0.8193862303670997,0.05958424786272414,0.0768432686807103,0.8227400328668045
noxi,metadata_head,role,causal_median,50,overall,577136,0.8401429806338578,0.05873499568581865,0.07610697105084371,0.8409690056768124,288568,0.6407110083870995,0.05721735778322546,0.07463516418545793,0.6441279766438459,288568,0.8193258795383436,0.06025263358841181,0.07755085010544802,0.8212684140587915
noxi,metadata_head,uniform,center_mean,25,overall,577136,0.8399063459462142,0.058985314209981134,0.0766413814318521,0.840190127870963,288568,0.648617630773813,0.05509422045296033,0.07270368242832295,0.6625044710306258,288568,0.7935628160990128,0.06287640796700192,0.08038642458106253,0.8063252013924295
noxi,metadata_head,shared,deadband,0.05:0.2,overall,577136,0.8398889587744559,0.058178533238888074,0.0746681647018697,0.8427094937080412,288568,0.6409511532308968,0.05630859292702883,0.07249369837016463,0.6481104798705433,288568,0.81510989851738,0.06004847355074731,0.07678107407757896,0.8206355843985804
noxi,metadata_head,role,deadband,0.05:0.2,overall,577136,0.8394902767794279,0.05825010046071559,0.07492484822920392,0.8421202513467778,288568,0.644803464471762,0.05580661827961063,0.0722409125226056,0.6515906794334365,288568,0.8150700950910129,0.060693582641820544,0.07751591012327554,0.8190425230159271
noxi,metadata_head,uniform,center_mean,12,overall,577136,0.8392951377615732,0.059196756462154325,0.07692718154216269,0.8395034846807028,288568,0.6487931590217517,0.055302451679735354,0.07301006753736337,0.6617583356753827,288568,0.7930580133828953,0.0630910612445733,0.08065427799088744,0.8052389465594987
noxi,metadata_head,uniform,center_median,25,overall,577136,0.8392541832250685,0.05916071871585692,0.07689255929901466,0.8394839519328348,288568,0.6484379950700722,0.05522098622219704,0.07289790615803363,0.661792425032886,288568,0.7924940397713415,0.0631004512095168,0.08068969344891264,0.8051100136547206
noxi,metadata_head,uniform,center_mean,50,overall,577136,0.8389769050818063,0.058970389124726366,0.07656961587218279,0.8394583037637167,288568,0.6431693165292877,0.055027203309178124,0.07258049229118968,0.6591276143284469,288568,0.7918408463882118,0.06291357494027458,0.08036096246558905,0.8058727618870257
noxi,metadata_head,uniform,center_median,50,overall,577136,0.8389211166987737,0.059124650196285544,0.0768228354889413,0.839235411567456,288568,0.645284203124361,0.0551656255563269,0.07280957130951701,0.6600452250854149,288568,0.7915916080003634,0.06308367483624419,0.08063660726274532,0.8051919742790938
noxi,metadata_head,uniform,center_median,12,overall,577136,0.8386938752796194,0.059327309429614734,0.07711089195892734,0.8388819751044043,288568,0.6481148787622811,0.055396387175309605,0.07315076915170646,0.6608059633898549,288568,0.792163397262193,0.06325823168391986,0.08087734101660664,0.8042586992706328
noxi,metadata_head,uniform,center_mean,5,overall,577136,0.8385093123283153,0.05938594424181256,0.07718011981592299,0.8386865873069244,288568,0.6477964871207247,0.05547930807842694,0.07325913255188017,0.6603525474669761,288568,0.7921596720886411,0.06329258040519817,0.08091131742436597,0.8040586643448762
noxi,metadata_head,uniform,center_median,5,overall,577136,0.8381433241021451,0.05946039066752826,0.07728432112983881,0.8383127492516097,288568,0.6472694952705891,0.05553650238259472,0.07334370635139617,0.6597235792805708,288568,0.7916417560944441,0.06338427895246179,0.0810335320940675,0.8034877326134189
noxi,metadata_head,uniform,ema,0.7,overall,577136,0.8377657416307597,0.05954597018830817,0.0773881517292628,0.8379292564358652,288568,0.6465751348568324,0.055615085275751444,0.07344734023613785,0.6589431665536462,288568,0.7912144924059944,0.0634768551008649,0.08113778570049723,0.8029640870029697
noxi,metadata_head,uniform,identity,none,overall,577136,0.8377542135662407,0.05955270722562511,0.07739748685225269,0.8379148690546151,288568,0.6466189958045931,0.05562245714547787,0.07345569947987192,0.6589542505168509,288568,0.7912092053602862,0.06348295730577236,0.08114802619911343,0.8029299326750582
noxi,metadata_head,uniform,ema,0.5,overall,577136,0.8377221971698755,0.05954869228430731,0.07739096345774,0.8378890157744318,288568,0.6464105630517439,0.05561578726678452,0.07344943708722476,0.6588142909100035,288568,0.7911421546571888,0.0634815973018301,0.08114125116982304,0.802924307308423
noxi,metadata_head,uniform,deadband,0.005:1,overall,577136,0.8376253529267431,0.05957190479014032,0.07742232847312666,0.8377884917893442,288568,0.6464109602706405,0.05562510545298786,0.07346750859081659,0.6587513960736415,288568,0.7909900181440153,0.06351870412729278,0.08118472192389235,0.8027220033736816
noxi,metadata_head,uniform,deadband,0.005:0.5,overall,577136,0.8376181483500457,0.05955562086895189,0.07739991589781578,0.8377919646810487,288568,0.6462516319588879,0.05560008935051946,0.07343648506710115,0.6586986968671467,288568,0.7909151748964399,0.06351115238738435,0.08117004757277985,0.8027279803554305
noxi,metadata_head,uniform,ema,0.35,overall,577136,0.8376133322427054,0.05956088342481334,0.07740537587071199,0.8377852362933444,288568,0.6460694104439908,0.05562394850471772,0.0734612376079256,0.6585274800159361,288568,0.7909745166832282,0.06349781834490896,0.08115806180832746,0.8028046524933691
