corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,metadata_head,best_single,ema,0.5,noxi,009,45214,0.5798824616173411,0.06670413883846335,0.08488422538453194,0.5939183565640752
noxi,metadata_head,best_single,ema,0.5,noxi,011,72010,0.8675354711718181,0.05560565283362599,0.07820586332780335,0.8699567108798798
noxi,metadata_head,best_single,ema,0.5,noxi,014,53448,0.7368089044907823,0.06852535192463453,0.08309139369703349,0.7872434455471354
noxi,metadata_head,best_single,ema,0.5,noxi,058,75506,0.6566508024742803,0.05680821255732974,0.0750328406023729,0.6613298359189776
noxi,metadata_head,best_single,ema,0.5,noxi,062,67788,0.51347766027093,0.092241470846971,0.11499393102973399,0.6288352625881641
noxi,metadata_head,best_single,ema,0.5,noxi,063,31992,0.7798104781537757,0.08881210793381421,0.1149800832735802,0.8189101843125913
noxi,metadata_head,best_single,ema,0.5,noxi,074,47716,0.7949259673743836,0.0538284348149022,0.06969050920517025,0.8045556039234543
noxi,metadata_head,best_single,ema,0.5,noxi,075,49752,0.8606580014180676,0.051804439074621275,0.07028271009145255,0.8786966289120389
noxi,metadata_head,best_single,ema,0.5,noxi,076,25068,0.7386562432996818,0.060536247349316785,0.08025929732981599,0.7895444772664383
noxi,metadata_head,best_single,ema,0.7,noxi,007,108642,0.910350632768515,0.056438301409392745,0.07315263542435813,0.913276895987962
noxi,metadata_head,best_single,ema,0.7,noxi,009,45214,0.5790873638353136,0.0668086127779191,0.08502078095137977,0.5932101294741676
noxi,metadata_head,best_single,ema,0.7,noxi,011,72010,0.8677517492776201,0.055589857366381334,0.07816378232777066,0.8701369514125589
noxi,metadata_head,best_single,ema,0.7,noxi,014,53448,0.737034728149759,0.06849822513897842,0.08309139308434876,0.7875742527662151
noxi,metadata_head,best_single,ema,0.7,noxi,058,75506,0.6555704930218866,0.05693671245846138,0.0751954796748896,0.6602416045340744
noxi,metadata_head,best_single,ema,0.7,noxi,062,67788,0.5128817206418599,0.09233774275324144,0.11513270914713132,0.6283343016322578
noxi,metadata_head,best_single,ema,0.7,noxi,063,31992,0.7796171417773834,0.08887669540728406,0.11505971182926691,0.8186396720980357
noxi,metadata_head,best_single,ema,0.7,noxi,074,47716,0.7945436658686151,0.05388561929446079,0.06978155140159474,0.8041984650164584
noxi,metadata_head,best_single,ema,0.7,noxi,075,49752,0.8605879726676284,0.05185654272791823,0.07031482842048885,0.8786831415877627
noxi,metadata_head,best_single,ema,0.7,noxi,076,25068,0.7390758679411688,0.0605080103366159,0.08023022756274306,0.7900924206533008
noxi,metadata_head,best_single,causal_mean,5,noxi,007,108642,0.9102221429212972,0.05644858908425074,0.07317934260321597,0.9131936692828845
noxi,metadata_head,best_single,causal_mean,5,noxi,009,45214,0.5806445691903227,0.06661323928210429,0.08475811314977857,0.5946074588261993
noxi,metadata_head,best_single,causal_mean,5,noxi,011,72010,0.8662244337679526,0.05588767794859924,0.07856611286458708,0.8686846779968054
noxi,metadata_head,best_single,causal_mean,5,noxi,014,53448,0.7348912807067731,0.06878858221020394,0.08337221673598447,0.7851659670364812
noxi,metadata_head,best_single,causal_mean,5,noxi,058,75506,0.6581132731076389,0.056644446326601754,0.07483787207263921,0.6628114317785531
noxi,metadata_head,best_single,causal_mean,5,noxi,062,67788,0.5140483259730683,0.0921480360716603,0.11485499589515467,0.6293003625097806
noxi,metadata_head,best_single,causal_mean,5,noxi,063,31992,0.7797463528092523,0.08878641863969698,0.11496448233207314,0.8189299393944416
noxi,metadata_head,best_single,causal_mean,5,noxi,074,47716,0.7947901764394161,0.05385871692359317,0.06969568424736433,0.8044144367523994
noxi,metadata_head,best_single,causal_mean,5,noxi,075,49752,0.8600810133557665,0.05185069150829614,0.07041929829119213,0.878065253285593
noxi,metadata_head,best_single,causal_mean,5,noxi,076,25068,0.7363250250376049,0.06082868575339337,0.08059200057549189,0.7869347337799968
