bias2,train_kappa,train_accuracy,train_class2_precision,train_class2_recall,train_class2_f1,train_class2_predicted,train_class2_tp,train_class2_fp,train_class2_fn,val_kappa,val_accuracy,val_class2_precision,val_class2_recall,val_class2_f1,val_class2_predicted,val_class2_tp,val_class2_fp,val_class2_fn
-0.6,0.8290301598983569,0.9220238296675978,0.9716078570008175,0.8576694654925251,0.9110902771662843,90518,87948,2570,14595,0.12810424921065536,0.22075744434807748,0.9439252336448598,0.017101252963088384,0.03359387992682521,214,202,12,11610
-0.55,0.8322877991215438,0.9234660009423574,0.9705972569124929,0.8640277737144417,0.9142173175047852,91284,88600,2684,13943,0.129357061632006,0.22324371205550736,0.9459459459459459,0.020741618692854725,0.04059315715350841,259,245,14,11567
-0.5,0.8351806267575901,0.9247467739878118,0.9695220704122781,0.8698497215802151,0.9169853606382103,92001,89197,2804,13346,0.12988592093301682,0.22468921653657126,0.9278350515463918,0.02285811039620725,0.04461703709824011,291,270,21,11542
-0.45,0.8378868824236089,0.9259442447213668,0.9685115842406846,0.8752523331675492,0.9195233899555355,92669,89751,2918,12792,0.1306456933795554,0.2263081815553628,0.9226006191950464,0.02522858110396207,0.04911413267408323,323,298,25,11514
-0.4,0.8406340853625688,0.9271573346384029,0.967478978094371,0.8807914728455379,0.9221023185535331,93355,90319,3036,12224,0.13145573758109466,0.22821624747036715,0.9118457300275482,0.028022350152387403,0.05437371663244354,363,331,32,11481
-0.35,0.8428704214611271,0.9281439463949623,0.9662315278797358,0.8856674760832041,0.9241970936622299,93993,90819,3174,11724,0.13206037235652937,0.22966175195143104,0.905852417302799,0.030138841855739926,0.05833674723473987,393,356,37,11456
-0.3,0.8447937459939913,0.928995191894685,0.9648992969286885,0.8900168709712023,0.9259465930765797,94585,91265,3320,11278,0.1329072599536124,0.23203237930037582,0.8901345291479821,0.033609888249238065,0.06477402512644805,446,397,49,11415
-0.25,0.8464505330183073,0.929731896715546,0.9634093798930234,0.8940542016519899,0.9274369764901064,95161,91679,3482,10864,0.13427268954939575,0.23515466897947385,0.884313725490196,0.03818151032847951,0.07320240220743385,510,451,59,11361
-0.2,0.8478937181852391,0.9303618704492859,0.9613164514681168,0.8981305403586788,0.9286499349621369,95803,92097,3706,10446,0.13655554364418143,0.2396068227811506,0.8918918918918919,0.044700304774805286,0.08513382779748468,592,528,64,11284
-0.15,0.8489498189914056,0.9308200331647329,0.9594022415940224,0.9015534946315205,0.9295787393855297,96360,92448,3912,10095,0.13821221032199343,0.24330731425267418,0.8888888888888888,0.05011852353538774,0.09488700112197467,666,592,74,11220
-0.1,0.850313988591432,0.931426578123251,0.957960034680649,0.9050934729820661,0.9307766751743746,96884,92811,4073,9732,0.1398447430300211,0.2470656259034403,0.8842530282637954,0.0556214019641043,0.1046594982078853,743,657,86,11155
-0.05,0.8511507060473659,0.9317780097515769,0.955721791240816,0.9082726270930244,0.9313932848321208,97452,93137,4315,9406,0.14120280331937837,0.2500144550448106,0.8827930174563591,0.05993904503894345,0.11225622324401459,802,708,94,11104
0.0,0.8520030293348834,0.9321424573661371,0.9536044079383705,0.9114030211716061,0.9320262480802601,98005,93458,4547,9085,0.14279218690628567,0.25365712633709164,0.879133409350057,0.0652726041313918,0.12152257861139569,877,771,106,11041
0.05,0.8526719021934177,0.9324262058660446,0.9515297318147674,0.9141433349911744,0.9324619386542125,98514,93739,4775,8804,0.14439206226543033,0.257126337091645,0.8784355179704016,0.07035218421943785,0.1302712023828186,946,831,115,10981
0.1,0.8529635392619437,0.932530333755919,0.9490880077564788,0.9164253045064021,0.9324707154799883,99014,93973,5041,8570,0.14521421314771074,0.25972824515756,0.8701684836471755,0.0743311886217406,0.13696279541377426,1009,878,131,10934
0.15,0.8532123760663355,0.9326136360678184,0.9467268305428819,0.9186877700086793,0.9324965726135739,99506,94205,5301,8338,0.14636522300710358,0.26256143394044523,0.8664799253034547,0.07856417202844565,0.14406582317783123,1071,928,143,10884
0.2,0.8533936184144882,0.9326657000127556,0.9443288865777315,0.9208917234721044,0.9324630568625611,99998,94431,5567,8112,0.1481766907056439,0.2666088464874241,0.8640692640692641,0.08449034879783271,0.15392920490475825,1155,998,157,10814
0.25,0.8532306207941467,0.9325563657283876,0.9415405434988109,0.9227543567088928,0.9320527974783295,100497,94622,5875,7921,0.14953544989985532,0.2700780572419775,0.8588807785888077,0.08965458855401287,0.16236105787658106,1233,1059,174,10753
0.3,0.8532920290852399,0.9325537625311408,0.9389031874876262,0.924958310172318,0.9318785830430875,101020,94848,6172,7695,0.15197281684641045,0.2747036715813819,0.8628787878787879,0.09642736200474095,0.17346938775510204,1320,1139,181,10673
0.35,0.8534684005626825,0.9326058264760779,0.9363539676599768,0.9272500316940211,0.9317797627505648,101546,95083,6463,7460,0.15428697440968625,0.2796762069962417,0.8621659634317862,0.10379275313240773,0.1852803385219888,1422,1226,196,10586
0.4,0.853525464341062,0.9326084296733248,0.9334965959739433,0.9293272090732668,0.9314072365463182,102085,95296,6789,7247,0.15700464305255443,0.28470656259034405,0.8655240606460118,0.1111581442600745,0.19701402955960687,1517,1313,204,10499
0.45,0.8534370727751677,0.9325407465449065,0.9307128516013333,0.9312483543489073,0.9309805259694364,102602,95493,7109,7050,0.15954743572466612,0.2899681989014166,0.8646153846153846,0.11894683372841179,0.20912406043015558,1625,1405,220,10407
0.5,0.8530418436192686,0.9323220779761703,0.9279166545412216,0.9328574354173371,0.9303804855275443,103089,95658,7431,6885,0.16207290886046855,0.2951720150332466,0.8643187066974596,0.12673552319674908,0.22105729474305968,1732,1497,235,10315
0.55,0.852501492927532,0.9320357262790159,0.9245803588655219,0.9346518046087983,0.9295888032666837,103660,95842,7818,6701,0.16542956941138126,0.30153223474992774,0.8663072776280324,0.13604808669150018,0.23516499597570792,1855,1607,248,10205
0.6,0.8519997889189094,0.9317702001598364,0.9214402932793351,0.9363389017290308,0.9288298572147197,104201,96015,8186,6528,0.16903947026367014,0.30864411679676207,0.8655,0.14654588554012868,0.25065160729800173,2000,1731,269,10081
0.65,0.8515409615609543,0.9315228964213847,0.9180653225575603,0.9382990550305725,0.9280719184358511,104803,96216,8587,6327,0.17242910786178445,0.3150621566926857,0.8660084626234132,0.1559431087030139,0.26429442571203104,2127,1842,285,9970
0.7,0.8507402341437829,0.9311089880591342,0.9142789396310523,0.9400641682026077,0.9269922780294071,105435,96397,9038,6146,0.17549800478316405,0.32194275802254985,0.85977212971078,0.166102268879106,0.27841634738186466,2282,1962,320,9850
0.75,0.850143522095343,0.9307966043895112,0.9107454382573436,0.9418487853875935,0.9260360135770035,106045,96580,9465,5963,0.17895167046590926,0.3284186180977161,0.8598673300165838,0.17558415171012529,0.2916197975253093,2412,2074,338,9738
0.8,0.8494297183657751,0.9304243471832104,0.9071633452691176,0.9437796826697092,0.9251093320587883,106682,96778,9904,5765,0.18192266892344872,0.3343162763804568,0.8580441640378549,0.1842194378598036,0.3033175355450237,2536,2176,360,9636
0.85,0.8487978284019874,0.9300937411328594,0.903567202973756,0.945827604029529,0.924214558656769,107339,96988,10351,5555,0.18590179440751126,0.3421220005782018,0.8565604151223128,0.1956484930579072,0.31853893866299104,2698,2311,387,9501
0.9,0.8476814517341591,0.9295236409357973,0.8991976902362511,0.9476024692080396,0.9227657331699952,108063,97170,10893,5373,0.18878416933798034,0.3480196588609425,0.8556773965334277,0.2047917372163901,0.33048705512671633,2827,2419,408,9393
0.95,0.8462766096664388,0.9288207776791455,0.8942036572709154,0.9494553504383527,0.921001598698338,108879,97360,11519,5183,0.19184532532127788,0.3547267996530789,0.8529707955689829,0.21512021672875042,0.3435873166114529,2979,2541,438,9271
1.0,0.8445553876298573,0.9279565161931884,0.8887987826546512,0.9512399676233385,0.9189599133261105,109747,97543,12204,5000,0.19494860003870745,0.36091355883203236,0.852780456444873,0.22460209955976973,0.35555853380687524,3111,2653,458,9159
1.05,0.8427312995856706,0.9270427939595411,0.8834894401851584,0.9529758247759477,0.9169180533987643,110608,97721,12887,4822,0.19826346601232545,0.36721595836947096,0.8522972556275054,0.23399932272265492,0.3671869810694121,3243,2764,479,9048
1.1,0.8406092464440799,0.9259884990745634,0.8777748876590935,0.9543703617019201,0.9144715325602474,111491,97864,13627,4679,0.20308145230966224,0.3751951431049436,0.8547864506627393,0.24568235692516086,0.38166633787071746,3395,2902,493,8910
1.15,0.8384562890493109,0.924910775414364,0.8723830378124332,0.9557648986278927,0.9121724441217942,112344,98007,14337,4536,0.20799604580512707,0.3832321480196589,0.8575860124083474,0.25745005079580086,0.39601510613361113,3546,3041,505,8771
1.2,0.8359863227297964,0.9236742567221061,0.8667420434771087,0.9568961313790313,0.9095906411064556,113209,98123,15086,4420,0.21368677147303483,0.3921364556230124,0.8621526841111411,0.2705722993565865,0.411882208905213,3707,3196,511,8616
1.25,0.8333395995482877,0.9223388165344676,0.8610378342374871,0.9581053801819724,0.9069818967347655,114103,98247,15856,4296,0.21900330257569273,0.4004047412546979,0.8656987295825771,0.28267863189976294,0.42619184376794944,3857,3339,518,8473
1.3,0.8303445306248793,0.9208315653285365,0.8547331647417681,0.9591585968813083,0.9039400038600457,115071,98355,16716,4188,0.22354420250090937,0.407805724197745,0.867,0.29359972908906196,0.4386541866936503,4000,3468,532,8344
1.35,0.8270134408482284,0.919147296709819,0.8481170755237045,0.9602118135806442,0.9006901787878648,116096,98463,17633,4080,0.22934364707995009,0.41647875108412835,0.8703391869136397,0.3062986793091771,0.4531279353747886,4157,3618,539,8194
1.4,0.82331529076915,0.9172729946920808,0.8409670622158145,0.9613430463317828,0.8971351085710124,117221,98579,18642,3964,0.23427297460395838,0.42370627348944784,0.8729307530892982,0.31696579749407383,0.46506428172163217,4289,3744,545,8068
1.45,0.8189308745971169,0.9150394514542761,0.8331180617111984,0.9623962630311187,0.8931031050054752,118455,98687,19768,3856,0.24042881910171185,0.4330153223474993,0.874636221177524,0.33076532339993225,0.4800049143067756,4467,3907,560,7905
1.5,0.8146467094392624,0.9128449561751744,0.8253384896803455,0.9636152638405352,0.8891328408303565,119723,98812,20911,3731,0.24861927265364495,0.44440589765828276,0.878638698630137,0.34752793769048423,0.49805872361077413,4672,4105,567,7707
1.55,0.8097971020600123,0.9103510932126838,0.8171177942792007,0.9647269925787231,0.8848083717186174,121067,98926,22141,3617,0.25668758121864366,0.4564324949407343,0.8799429270281288,0.36547578733491365,0.5164493360449814,4906,4317,589,7495
1.6,0.8039380743700886,0.9073365908008215,0.8077942844089837,0.9656144251679784,0.8796819474058281,122577,99017,23560,3526,0.2647230067288422,0.4674183289968199,0.8827329678935004,0.38173044361666103,0.5329787234042555,5108,4509,599,7303
1.65,0.7979475054389974,0.9042335796825661,0.7986704270749395,0.9665701218025609,0.8746354398768107,124100,99115,24985,3428,0.2729912314972746,0.47880890430760337,0.8843192488262911,0.3986623772434812,0.549571103460349,5325,4709,616,7103
