run,head,mode,param,target_subset,n_frames,soft_kappa,confidence_weighted_soft_kappa,soft_nll,confidence_weighted_soft_nll
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=2.0;alpha=1.0,canonical,184616,0.49966250497023673,0.49966250497023673,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=2.0;alpha=1.0,numbered_blank,378896,0.09165284802146706,0.08890766615360625,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=2.0;alpha=1.0,augmented,563512,0.20763050405061256,0.2630446575230973,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=4.0;alpha=1.0,canonical,184616,0.5031507081201271,0.5031507081201271,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=4.0;alpha=1.0,numbered_blank,378896,0.09203568709309097,0.08950543430067893,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=4.0;alpha=1.0,augmented,563512,0.2087184796241516,0.2646474105556199,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=8.0;alpha=1.0,canonical,184616,0.5100000417197583,0.5100000417197583,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=8.0;alpha=1.0,numbered_blank,378896,0.09497798305739838,0.09286306688651322,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=8.0;alpha=1.0,augmented,563512,0.21258740229151202,0.26924233304135264,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=12.0;alpha=1.0,canonical,184616,0.5264055780081655,0.5264055780081655,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=12.0;alpha=1.0,numbered_blank,378896,0.09581878720129572,0.09304367754746466,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=12.0;alpha=1.0,augmented,563512,0.21759357428363163,0.2759224705152298,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.25;alpha=1.0,canonical,184616,0.4952814613661677,0.4952814613661677,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.25;alpha=1.0,numbered_blank,378896,0.09111013900914301,0.08872904993404343,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.25;alpha=1.0,augmented,563512,0.20618306106118187,0.2613235199803769,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.5;alpha=1.0,canonical,184616,0.4975138419556982,0.4975138419556982,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.5;alpha=1.0,numbered_blank,378896,0.09130216474772017,0.08884284431222081,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=0.5;alpha=1.0,augmented,563512,0.20694769716412234,0.26232406574038686,1.8066164502792506,1.6212935825546937
