dataset,session_id,role,frame_idx,time_seconds,session_phase_decile,gate
noxi,020,expert,15250,610.0,9,0.3625692129135132
noxi,020,novice,15125,605.0,9,0.6643327474594116
noxi,020,novice,15375,615.0,9,0.7703424096107483
noxi,020,expert,15125,605.0,9,0.4602659344673157
noxi,020,expert,15375,615.0,9,0.33673331141471863
noxi,020,novice,15250,610.0,9,0.6500513553619385
noxi,020,novice,15500,620.0,9,0.7877140045166016
noxi,020,expert,15250,610.0,9,0.43704190850257874
noxi,020,expert,15500,620.0,9,0.3521253168582916
noxi,020,novice,15375,615.0,9,0.6330415606498718
noxi,020,novice,15625,625.0,9,0.7872035503387451
noxi,020,expert,15375,615.0,9,0.43836185336112976
noxi,020,expert,15625,625.0,9,0.39625853300094604
noxi,020,novice,15500,620.0,9,0.6842853426933289
noxi,020,novice,15750,630.0,9,0.787211000919342
noxi,020,expert,15500,620.0,9,0.34672701358795166
noxi,020,expert,15750,630.0,9,0.28791293501853943
noxi,020,novice,15625,625.0,9,0.6816906332969666
noxi,020,novice,15875,635.0,9,0.8079139590263367
noxi,020,expert,15625,625.0,9,0.49584755301475525
noxi,020,expert,15875,635.0,9,0.3336290419101715
noxi,020,novice,15750,630.0,9,0.6548585891723633
noxi,020,novice,16000,640.0,9,0.7891136407852173
noxi,020,expert,15750,630.0,9,0.44968417286872864
noxi,020,expert,16000,640.0,9,0.3578374683856964
noxi,020,novice,15875,635.0,9,0.6974685788154602
noxi,020,novice,16125,645.0,9,0.7689242362976074
noxi,020,expert,15875,635.0,9,0.48054781556129456
noxi,020,expert,16125,645.0,9,0.4136345088481903
noxi,020,novice,16000,640.0,9,0.664425253868103
noxi,020,novice,16250,650.0,9,0.6817880868911743
noxi,020,expert,16000,640.0,9,0.42207223176956177
noxi,020,expert,16250,650.0,9,0.6013532876968384
