domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,logit_ema,0.6,mean,82641,0.6566784204988064,0.41594188384990166,9,82632,31,1531,0.0003751573240391132,0.01852793106786717,49.38709677419355,1500
CR,logit_mean,121,mean,82641,0.6919556368290705,0.46511864197804265,9,82632,31,191,0.0003751573240391132,0.0023114531900474394,6.161290322580645,160
CR,logit_mean,15,mean,82641,0.6599304153706433,0.4205180560830944,9,82632,31,761,0.0003751573240391132,0.009209507212702101,24.548387096774192,730
CR,logit_mean,3,mean,82641,0.6567974533000916,0.41604192736321427,9,82632,31,1411,0.0003751573240391132,0.017075709168360924,45.516129032258064,1380
CR,logit_mean,31,mean,82641,0.6659364460084367,0.42829796946320753,9,82632,31,542,0.0003751573240391132,0.006559202246103205,17.483870967741936,511
CR,logit_mean,5,mean,82641,0.6573007983734538,0.41679772977167456,9,82632,31,1165,0.0003751573240391132,0.014098654274373124,37.58064516129032,1134
CR,logit_mean,61,mean,82641,0.6795011338536618,0.44669602926689383,9,82632,31,347,0.0003751573240391132,0.004199341659405558,11.193548387096774,316
CR,logit_mean,9,mean,82641,0.658091436632898,0.4178799436809242,9,82632,31,943,0.0003751573240391132,0.011412043760286572,30.419354838709676,912
CR,prob_mean,121,mean,82641,0.693118032933187,0.4664849104033564,9,82632,31,197,0.0003751573240391132,0.0023840642850227515,6.354838709677419,166
CR,prob_mean,15,mean,82641,0.6599499776611093,0.420513712643495,9,82632,31,758,0.0003751573240391132,0.009173201665214445,24.451612903225808,727
CR,prob_mean,3,mean,82641,0.6568935313681109,0.416158020636481,9,82632,31,1408,0.0003751573240391132,0.01703940362087327,45.41935483870968,1377
CR,prob_mean,31,mean,82641,0.6662094142198938,0.4285401218386557,9,82632,31,539,0.0003751573240391132,0.0065228966986155485,17.387096774193548,508
CR,prob_mean,5,mean,82641,0.6572336303950558,0.41671147862385743,9,82632,31,1164,0.0003751573240391132,0.014086552425210572,37.54838709677419,1133
CR,prob_mean,61,mean,82641,0.6797597399275839,0.44667862938449243,9,82632,31,343,0.0003751573240391132,0.004150934262755349,11.064516129032258,312
CR,prob_mean,9,mean,82641,0.6580574378790767,0.41779917677706435,9,82632,31,940,0.0003751573240391132,0.011375738212798915,30.322580645161292,909
